discount,unitPrice,customerID,customerSegment,productCategory,baseMargin,region,profit,quantityOrdered,sales,orderID
0.01,2.84,3,Corporate,Office Supplies,0.54,West,4.56,4,13.01,88522
0.02,500.98,5,Home Office,Furniture,0.6,West,4390.3665,12,6362.85,90193
0.06,9.48,11,Home Office,Furniture,0.45,East,-53.8096,22,211.15,90192
0.09,78.69,14,Small Business,Furniture,0.43,Central,803.4705,16,1164.45,86838
0.08,3.28,14,Small Business,Office Supplies,0.56,Central,-24.03,7,22.23,86838
0.05,3.28,14,Small Business,Office Supplies,0.56,Central,-37.03,4,13.99,86838
0.05,3.58,14,Small Business,Office Supplies,0.36,Central,-0.71,4,14.26,86838
0,4.42,15,Small Business,Office Supplies,0.38,East,-59.82,7,33.47,86837
0.01,35.94,15,Small Business,Office Supplies,0.4,East,261.8757,10,379.53,86839
0.04,2.98,16,Small Business,Office Supplies,0.39,East,2.63,6,18.8,86836
0.05,115.99,16,Small Business,Technology,0.55,East,652.7331,10,945.99,86836
0.05,26.48,18,Small Business,Furniture,0.49,West,314.4813,17,455.77,90031
0.07,12.99,19,Small Business,Technology,0.39,West,-114.6399,18,231.79,90032
0.05,26.48,21,Small Business,Furniture,0.49,East,384.38,70,1876.69,41793
0.08,5,21,Small Business,Office Supplies,0.37,East,-17.49,58,293.06,42949
0.07,12.99,21,Small Business,Technology,0.39,East,-114.6399,71,914.29,42949
0.06,55.48,24,Corporate,Office Supplies,0.37,West,-28.2968,1,67.49,87651
0.02,1.68,24,Corporate,Office Supplies,0.59,West,-5.3072,1,2.25,87651
0.04,4.14,27,Corporate,Furniture,0.49,West,8.894,12,54.78,87652
0.08,34.99,32,Corporate,Office Supplies,0.59,West,144.69,13,424.68,89199
0.01,17.98,32,Corporate,Technology,0.4,West,-35.8788,2,40.17,89200
0.09,125.99,32,Corporate,Technology,0.59,West,209.997,8,783.55,89202
0.06,205.99,32,Corporate,Technology,0.56,West,3568.096,22,3838.14,89203
